name1	name2	form1	form2	result	concentration1	concentration2	goal_diff	score_diff	history	motivation1	motivation2
Тоттенхэм Хотспур	Эвертон	0.7	0.6	1.0	1.0	1.0	0.4097222222222222	0.4864864864864865	0.5	0.9761904761904762	0.9761904761904762
Тоттенхэм Хотспур	Манчестер Юнайтед	0.5	0.8	0.5	1.0	1.0	0.3947368421052632	0.4791666666666667	0.75	0.0	0.0
Тоттенхэм Хотспур	Саутгемптон	0.4	0.6	1.0	0.6	1.0	0.4606741573033708	0.5888888888888889	1.0	0.9583333333333334	0.6666666666666667
Тоттенхэм Хотспур	Сток Сити	0.7	0.6	1.0	1.0	1.0	0.5272727272727272	0.6851851851851851	0.75	0.95	0.9166666666666666
Тоттенхэм Хотспур	Ньюкасл Юнайтед	0.6	0.5	0.0	0.6	0.2	0.59375	0.6428571428571428	0.5	0.0	0.0
Тоттенхэм Хотспур	Кристал Пэлас	0.7	0.3	1.0	1.0	1.0	0.6363636363636364	0.8225806451612903	0.5	0.9814814814814816	0.9814814814814816
Тоттенхэм Хотспур	Вест Хэм Юнайтед	0.7	0.2	0.0	0.6	1.0	0.625	0.7666666666666666	1.0	0.0	0.0
Тоттенхэм Хотспур	Сандерленд	0.4	0.1	1.0	1.0	1.0	0.5833333333333334	0.8163265306122449	1.0	0.9444444444444444	0.8888888888888888
Тоттенхэм Хотспур	Астон Вилла	0.7	0.3	1.0	0.0	1.0	0.5925925925925926	0.7641509433962264	1.0	1.0	1.0
Тоттенхэм Хотспур	Халл Сити	0.7	0.6	1.0	0.2	1.0	0.5961538461538461	0.6190476190476191	0.75	0.0	0.0
Тоттенхэм Хотспур	Вест Бромвич Альбион	0.7	0.1	0.5	1.0	1.0	0.5	0.7692307692307692	0.75	0.9365079365079364	0.9682539682539684
Тоттенхэм Хотспур	Фулхэм	0.5	0.6	1.0	1.0	1.0	0.7127659574468085	0.7941176470588236	0.5	1.0	1.0
Тоттенхэм Хотспур	Кардифф Сити	0.5	0.3	1.0	0.0	1.0	0.7105263157894737	0.8333333333333333	0.5	0.9393939393939394	0.9393939393939394
Манчестер Юнайтед	Манчестер Сити	0.7	0.7	0.0	1.0	1.0	0.3033707865168539	0.3666666666666667	0.0	1.0	1.0
Манчестер Юнайтед	Ливерпуль	0.6	0.9	0.0	0.8	1.0	0.35443037974683544	0.3690476190476191	0.5	1.0	1.0
Манчестер Юнайтед	Арсенал	0.7	0.9	1.0	1.0	1.0	0.359375	0.30952380952380953	0.75	0.0	0.0
Манчестер Юнайтед	Эвертон	0.8	0.7	0.0	1.0	1.0	0.4634146341463415	0.4565217391304348	0.5	0.0	0.0
Манчестер Юнайтед	Тоттенхэм Хотспур	0.8	0.7	0.0	1.0	1.0	0.6090909090909091	0.5	0.5	0.9649122807017544	0.9649122807017544
Манчестер Юнайтед	Саутгемптон	0.4	0.7	0.5	1.0	0.8	0.4	0.3666666666666667	1.0	0.0	0.0
Манчестер Юнайтед	Сток Сити	0.5	0.2	1.0	1.0	1.0	0.5769230769230769	0.5833333333333334	1.0	0.0	0.0
Манчестер Юнайтед	Ньюкасл Юнайтед	0.6	0.8	0.0	1.0	1.0	0.5697674418604651	0.4807692307692308	1.0	0.0	0.0
Манчестер Юнайтед	Суонси Сити	0.8	0.2	1.0	1.0	1.0	0.6	0.7096774193548387	0.5	0.9444444444444444	0.9444444444444444
Манчестер Юнайтед	Вест Хэм Юнайтед	0.4	0.3	1.0	1.0	1.0	0.6276595744680851	0.7115384615384616	0.75	0.9696969696969696	0.9848484848484848
Манчестер Юнайтед	Сандерленд	0.6	0.5	0.0	1.0	1.0	0.7	0.78	0.5	1.0	1.0
Манчестер Юнайтед	Астон Вилла	0.6	0.5	1.0	1.0	1.0	0.6086956521739131	0.6888888888888889	1.0	0.7619047619047619	0.7142857142857143
Манчестер Юнайтед	Халл Сити	0.6	0.3	1.0	0.0	1.0	0.6442307692307692	0.7254901960784313	1.0	1.0	1.0
Манчестер Юнайтед	Вест Бромвич Альбион	0.5	0.4	0.0	1.0	1.0	0.53125	0.5909090909090909	0.75	0.0	0.0
Манчестер Юнайтед	Норвич Сити	0.6	0.2	1.0	1.0	1.0	0.7244897959183674	0.7450980392156863	1.0	1.0	1.0
Манчестер Юнайтед	Фулхэм	0.4	0.2	0.5	0.0	1.0	0.7847222222222222	0.7837837837837838	1.0	0.9047619047619048	0.9047619047619048
Манчестер Юнайтед	Кардифф Сити	0.6	0.1	1.0	1.0	1.0	0.734375	0.7878787878787878	0.25	0.8958333333333334	0.9791666666666666
Саутгемптон	Манчестер Сити	0.3	0.8	0.5	1.0	0.6	0.2558139534883721	0.3846153846153846	0.5	0.0	0.0
Саутгемптон	Ливерпуль	0.6	0.9	0.0	1.0	1.0	0.3040540540540541	0.28205128205128205	1.0	0.8181818181818181	0.9696969696969696
Саутгемптон	Челси	0.4	0.7	0.0	1.0	0.8	0.40909090909090906	0.26785714285714285	0.5	0.8771929824561403	0.9824561403508772
Саутгемптон	Арсенал	0.5	1.0	0.5	1.0	1.0	0.34375	0.19696969696969696	0.25	0.7708333333333334	0.9791666666666666
Саутгемптон	Эвертон	0.3	0.8	1.0	0.2	1.0	0.4081632653061225	0.303921568627451	0.25	1.0	1.0
Саутгемптон	Тоттенхэм Хотспур	0.2	0.5	0.0	1.0	1.0	0.6122448979591837	0.4423076923076923	0.0	0.9090909090909092	0.9545454545454546
Саутгемптон	Манчестер Юнайтед	0.5	0.6	0.5	0.6	0.2	0.4398148148148148	0.4245283018867925	0.25	1.0	1.0
Саутгемптон	Сток Сити	0.6	0.3	0.5	1.0	0.4	0.6458333333333334	0.6388888888888888	0.5	0.7857142857142857	0.9523809523809524
Саутгемптон	Ньюкасл Юнайтед	0.4	0.6	1.0	1.0	0.4	0.5543478260869565	0.4888888888888889	0.25	0.4761904761904762	0.5238095238095237
Саутгемптон	Кристал Пэлас	0.6	0.2	1.0	0.4	1.0	0.65625	0.7272727272727273	0.0	0.0	0.0
Саутгемптон	Суонси Сити	0.6	0.5	1.0	0.6	1.0	0.6	0.6333333333333333	0.5	0.0	0.0
Саутгемптон	Астон Вилла	0.5	0.5	0.0	1.0	1.0	0.5853658536585366	0.6304347826086957	1.0	0.0	0.0
Саутгемптон	Вест Бромвич Альбион	0.3	0.5	1.0	1.0	1.0	0.5636363636363636	0.5967741935483871	0.5	0.8333333333333334	0.9444444444444444
Саутгемптон	Норвич Сити	0.5	0.4	1.0	1.0	1.0	0.6666666666666666	0.6444444444444444	0.25	0.7777777777777778	0.8518518518518519
Саутгемптон	Фулхэм	0.8	0.5	1.0	1.0	1.0	0.6153846153846154	0.6388888888888888	0.5	0.0	0.0
Саутгемптон	Кардифф Сити	0.6	0.3	0.0	1.0	1.0	0.7135416666666666	0.7244897959183674	0.5	1.0	1.0
Сток Сити	Ливерпуль	0.4	0.6	0.0	1.0	1.0	0.206896551724138	0.206896551724138	0.5	0.925925925925926	0.9814814814814816
Сток Сити	Челси	0.5	0.7	1.0	1.0	0.8	0.2674418604651163	0.1923076923076923	0.0	0.0	0.0
Сток Сити	Арсенал	0.4	0.6	1.0	1.0	1.0	0.2297297297297297	0.08974358974358976	0.0	0.9393939393939394	0.9696969696969696
Сток Сити	Эвертон	0.5	0.7	0.5	1.0	0.2	0.28181818181818186	0.2142857142857143	0.0	0.912280701754386	0.9824561403508772
Сток Сити	Тоттенхэм Хотспур	0.7	0.7	0.0	1.0	1.0	0.4387755102040816	0.3137254901960784	0.0	1.0	1.0
Сток Сити	Манчестер Юнайтед	0.1	0.6	1.0	0.2	1.0	0.3142857142857143	0.2428571428571429	0.0	0.9777777777777776	0.9555555555555556
Сток Сити	Саутгемптон	0.1	0.9	0.5	1.0	1.0	0.28	0.2368421052631579	0.5	0.0	0.0
Сток Сити	Ньюкасл Юнайтед	0.7	0.2	1.0	1.0	0.8	0.5104166666666666	0.4387755102040816	0.0	1.0	1.0
Сток Сити	Суонси Сити	0.3	0.4	0.5	0.6	1.0	0.4681818181818182	0.5714285714285714	0.25	0.641025641025641	0.8461538461538461
Сток Сити	Вест Хэм Юнайтед	0.5	0.8	1.0	1.0	1.0	0.4358974358974359	0.5	0.5	0.7777777777777778	0.7777777777777778
