name1	name2	form1	form2	result
Халл Сити	Ньюкасл Юнайтед	0.5	0.3	0
Халл Сити	Кристал Пэлас	0.3	0.1	0
Халл Сити	Суонси Сити	0.2	0.4	1
Халл Сити	Вест Хэм Юнайтед	0.5	0.4	1
Халл Сити	Сандерленд	0.5	0.2	1
Халл Сити	Астон Вилла	0.7	0.4	0.5
Халл Сити	Вест Бромвич Альбион	0.4	0.4	1
Халл Сити	Фулхэм	0.3	0.4	1
Вест Бромвич Альбион	Манчестер Сити	0.4	0.6	0
Вест Бромвич Альбион	Ливерпуль	0.4	0.7	0.5
Вест Бромвич Альбион	Челси	0.2	0.9	0.5
Вест Бромвич Альбион	Арсенал	0.6	1.0	0.5
Вест Бромвич Альбион	Эвертон	0.5	0.7	0.5
Вест Бромвич Альбион	Тоттенхэм Хотспур	0.5	0.4	0.5
Вест Бромвич Альбион	Манчестер Юнайтед	0.3	0.6	0
Вест Бромвич Альбион	Сток Сити	0.3	0.5	0
Вест Бромвич Альбион	Ньюкасл Юнайтед	0.3	0.7	1
Вест Бромвич Альбион	Кристал Пэлас	0.6	0.0	1
Вест Бромвич Альбион	Вест Хэм Юнайтед	0.4	0.4	1
Вест Бромвич Альбион	Астон Вилла	0.5	0.4	0.5
Вест Бромвич Альбион	Халл Сити	0.1	0.4	0.5
Вест Бромвич Альбион	Норвич Сити	0.4	0.4	0
Вест Бромвич Альбион	Фулхэм	0.3	0.1	0.5
Вест Бромвич Альбион	Кардифф Сити	0.4	0.2	0.5
Норвич Сити	Манчестер Сити	0.4	0.8	0.5
Норвич Сити	Ливерпуль	0.2	1.0	0
Норвич Сити	Челси	0.4	0.6	0
Норвич Сити	Арсенал	0.1	0.8	0
Норвич Сити	Тоттенхэм Хотспур	0.4	0.7	1
Норвич Сити	Манчестер Юнайтед	0.4	0.6	0
Норвич Сити	Сток Сити	0.3	0.6	0.5
Норвич Сити	Ньюкасл Юнайтед	0.3	0.4	0.5
Норвич Сити	Кристал Пэлас	0.3	0.3	1
Норвич Сити	Суонси Сити	0.6	0.6	0.5
Норвич Сити	Вест Хэм Юнайтед	0.3	0.4	1
Норвич Сити	Сандерленд	0.3	0.5	1
Норвич Сити	Халл Сити	0.2	0.3	1
Норвич Сити	Вест Бромвич Альбион	0.3	0.4	0
Норвич Сити	Фулхэм	0.6	0.2	0
Норвич Сити	Кардифф Сити	0.2	0.3	0.5
Фулхэм	Манчестер Сити	0.2	0.9	0
Фулхэм	Ливерпуль	0.1	0.8	0
Фулхэм	Челси	0.2	0.8	0
Фулхэм	Эвертон	0.3	0.8	0
Фулхэм	Тоттенхэм Хотспур	0.0	0.4	0
Фулхэм	Манчестер Юнайтед	0.4	0.5	0
Фулхэм	Саутгемптон	0.2	0.4	0
Фулхэм	Сток Сити	0.1	0.5	1
Фулхэм	Ньюкасл Юнайтед	0.2	0.4	1
Фулхэм	Кристал Пэлас	0.5	0.7	0.5
Фулхэм	Суонси Сити	0.4	0.4	0
Фулхэм	Вест Хэм Юнайтед	0.4	0.2	1
Фулхэм	Сандерленд	0.4	0.5	0
Фулхэм	Астон Вилла	0.0	0.7	1
Фулхэм	Халл Сити	0.4	0.4	0.5
Фулхэм	Норвич Сити	0.4	0.3	1
Фулхэм	Кардифф Сити	0.3	0.4	0
Кардифф Сити	Ливерпуль	0.3	1.0	0
Кардифф Сити	Челси	0.3	0.7	0
Кардифф Сити	Арсенал	0.4	0.8	0
Кардифф Сити	Манчестер Юнайтед	0.3	0.9	0.5
Кардифф Сити	Саутгемптон	0.3	0.2	0
Кардифф Сити	Сток Сити	0.3	0.8	0.5
Кардифф Сити	Ньюкасл Юнайтед	0.6	0.5	0
Кардифф Сити	Кристал Пэлас	0.3	0.4	0
Кардифф Сити	Суонси Сити	0.3	0.5	1
Кардифф Сити	Вест Хэм Юнайтед	0.3	0.2	0
Кардифф Сити	Сандерленд	0.3	0.4	0.5
Кардифф Сити	Астон Вилла	0.2	0.3	0.5
Кардифф Сити	Халл Сити	0.3	0.3	0
Кардифф Сити	Вест Бромвич Альбион	0.2	0.2	1
Кардифф Сити	Норвич Сити	0.1	0.4	1
Кардифф Сити	Фулхэм	0.3	0.2	1
