name1	name2	concentration1	concentration2
Суонси Сити	Ньюкасл Юнайтед	1.0	0.8
Суонси Сити	Кристал Пэлас	1.0	1.0
Суонси Сити	Вест Хэм Юнайтед	1.0	1.0
Суонси Сити	Сандерленд	1.0	1.0
Суонси Сити	Астон Вилла	1.0	0.4
Суонси Сити	Халл Сити	1.0	0.4
Суонси Сити	Вест Бромвич Альбион	1.0	1.0
Суонси Сити	Норвич Сити	1.0	1.0
Суонси Сити	Фулхэм	1.0	1.0
Суонси Сити	Кардифф Сити	1.0	1.0
Вест Хэм Юнайтед	Манчестер Сити	1.0	0.19999999999999996
Вест Хэм Юнайтед	Ливерпуль	1.0	1.0
Вест Хэм Юнайтед	Челси	1.0	0.19999999999999996
Вест Хэм Юнайтед	Арсенал	1.0	1.0
Вест Хэм Юнайтед	Эвертон	1.0	1.0
Вест Хэм Юнайтед	Тоттенхэм Хотспур	1.0	1.0
Вест Хэм Юнайтед	Манчестер Юнайтед	1.0	1.0
Вест Хэм Юнайтед	Саутгемптон	1.0	1.0
Вест Хэм Юнайтед	Сток Сити	1.0	1.0
Вест Хэм Юнайтед	Ньюкасл Юнайтед	1.0	1.0
Вест Хэм Юнайтед	Кристал Пэлас	1.0	1.0
Вест Хэм Юнайтед	Суонси Сити	1.0	1.0
Вест Хэм Юнайтед	Сандерленд	1.0	1.0
Вест Хэм Юнайтед	Астон Вилла	1.0	1.0
Вест Хэм Юнайтед	Халл Сити	1.0	1.0
Вест Хэм Юнайтед	Вест Бромвич Альбион	1.0	1.0
Вест Хэм Юнайтед	Норвич Сити	1.0	0.19999999999999996
Вест Хэм Юнайтед	Фулхэм	1.0	1.0
Вест Хэм Юнайтед	Кардифф Сити	1.0	1.0
Сандерленд	Манчестер Сити	1.0	0.8
Сандерленд	Ливерпуль	1.0	0.0
Сандерленд	Челси	1.0	0.6
Сандерленд	Арсенал	1.0	1.0
Сандерленд	Эвертон	1.0	1.0
Сандерленд	Тоттенхэм Хотспур	1.0	1.0
Сандерленд	Манчестер Юнайтед	1.0	1.0
Сандерленд	Саутгемптон	1.0	1.0
Сандерленд	Сток Сити	1.0	0.0
Сандерленд	Ньюкасл Юнайтед	1.0	0.6
Сандерленд	Кристал Пэлас	1.0	1.0
Сандерленд	Суонси Сити	1.0	1.0
Сандерленд	Вест Хэм Юнайтед	1.0	1.0
Сандерленд	Астон Вилла	1.0	0.8
Сандерленд	Халл Сити	1.0	1.0
Сандерленд	Вест Бромвич Альбион	1.0	1.0
Сандерленд	Норвич Сити	1.0	1.0
Сандерленд	Фулхэм	1.0	1.0
Сандерленд	Кардифф Сити	1.0	1.0
Астон Вилла	Манчестер Сити	1.0	0.6
Астон Вилла	Ливерпуль	1.0	1.0
Астон Вилла	Челси	0.6	1.0
Астон Вилла	Арсенал	1.0	1.0
Астон Вилла	Эвертон	1.0	1.0
Астон Вилла	Тоттенхэм Хотспур	1.0	0.0
Астон Вилла	Манчестер Юнайтед	0.0	1.0
Астон Вилла	Саутгемптон	0.19999999999999996	0.0
Астон Вилла	Сток Сити	0.8	1.0
Астон Вилла	Ньюкасл Юнайтед	1.0	1.0
Астон Вилла	Кристал Пэлас	0.4	1.0
Астон Вилла	Суонси Сити	0.6	1.0
Астон Вилла	Вест Хэм Юнайтед	1.0	1.0
Астон Вилла	Сандерленд	1.0	1.0
Астон Вилла	Халл Сити	0.6	1.0
Астон Вилла	Вест Бромвич Альбион	1.0	1.0
Астон Вилла	Норвич Сити	0.4	0.6
Астон Вилла	Фулхэм	1.0	1.0
Астон Вилла	Кардифф Сити	1.0	1.0
Халл Сити	Манчестер Сити	1.0	1.0
Халл Сити	Ливерпуль	0.0	1.0
Халл Сити	Челси	1.0	1.0
Халл Сити	Арсенал	1.0	1.0
Халл Сити	Эвертон	1.0	1.0
Халл Сити	Тоттенхэм Хотспур	1.0	1.0
Халл Сити	Манчестер Юнайтед	1.0	1.0
Халл Сити	Саутгемптон	1.0	1.0
Халл Сити	Сток Сити	0.6	1.0
Халл Сити	Ньюкасл Юнайтед	1.0	0.6
Халл Сити	Кристал Пэлас	1.0	1.0
Халл Сити	Суонси Сити	1.0	1.0
Халл Сити	Вест Хэм Юнайтед	1.0	1.0
Халл Сити	Сандерленд	1.0	1.0
Халл Сити	Астон Вилла	1.0	1.0
Халл Сити	Вест Бромвич Альбион	1.0	1.0
Халл Сити	Норвич Сити	1.0	1.0
Халл Сити	Фулхэм	1.0	1.0
Халл Сити	Кардифф Сити	1.0	1.0
Вест Бромвич Альбион	Манчестер Сити	1.0	0.4
Вест Бромвич Альбион	Ливерпуль	1.0	1.0
Вест Бромвич Альбион	Челси	1.0	1.0
Вест Бромвич Альбион	Арсенал	1.0	1.0
Вест Бромвич Альбион	Эвертон	1.0	0.6
Вест Бромвич Альбион	Тоттенхэм Хотспур	1.0	1.0
Вест Бромвич Альбион	Манчестер Юнайтед	1.0	0.6
Вест Бромвич Альбион	Саутгемптон	1.0	1.0
Вест Бромвич Альбион	Сток Сити	1.0	1.0
Вест Бромвич Альбион	Ньюкасл Юнайтед	1.0	1.0
Вест Бромвич Альбион	Кристал Пэлас	1.0	1.0
Вест Бромвич Альбион	Суонси Сити	1.0	1.0
Вест Бромвич Альбион	Вест Хэм Юнайтед	1.0	1.0
Вест Бромвич Альбион	Сандерленд	1.0	1.0
Вест Бромвич Альбион	Астон Вилла	1.0	1.0
Вест Бромвич Альбион	Халл Сити	1.0	0.8
Вест Бромвич Альбион	Норвич Сити	1.0	1.0
Вест Бромвич Альбион	Фулхэм	1.0	1.0
Вест Бромвич Альбион	Кардифф Сити	1.0	1.0
Норвич Сити	Манчестер Сити	0.0	1.0
Норвич Сити	Ливерпуль	1.0	1.0
Норвич Сити	Челси	1.0	0.4
Норвич Сити	Арсенал	1.0	1.0
Норвич Сити	Эвертон	1.0	1.0
Норвич Сити	Тоттенхэм Хотспур	0.4	1.0
Норвич Сити	Манчестер Юнайтед	1.0	1.0
Норвич Сити	Саутгемптон	1.0	1.0
Норвич Сити	Сток Сити	0.8	1.0
Норвич Сити	Ньюкасл Юнайтед	1.0	1.0
Норвич Сити	Кристал Пэлас	1.0	1.0
Норвич Сити	Суонси Сити	1.0	1.0
Норвич Сити	Вест Хэм Юнайтед	1.0	1.0
Норвич Сити	Сандерленд	1.0	1.0
Норвич Сити	Астон Вилла	1.0	1.0
Норвич Сити	Халл Сити	1.0	1.0
Норвич Сити	Вест Бромвич Альбион	1.0	1.0
Норвич Сити	Фулхэм	1.0	1.0
Норвич Сити	Кардифф Сити	1.0	1.0
Фулхэм	Манчестер Сити	1.0	1.0
Фулхэм	Ливерпуль	1.0	1.0
Фулхэм	Челси	1.0	1.0
Фулхэм	Арсенал	1.0	1.0
Фулхэм	Эвертон	1.0	1.0
Фулхэм	Тоттенхэм Хотспур	1.0	1.0
Фулхэм	Манчестер Юнайтед	1.0	1.0
Фулхэм	Саутгемптон	1.0	1.0
Фулхэм	Сток Сити	0.8	1.0
Фулхэм	Ньюкасл Юнайтед	1.0	0.8
Фулхэм	Кристал Пэлас	1.0	1.0
Фулхэм	Суонси Сити	1.0	1.0
Фулхэм	Вест Хэм Юнайтед	1.0	1.0
