name1	name2	history	result
Рединг	Суонси Сити	0.25	0.5
Рединг	Вест Хэм Юнайтед	0.25	1
Рединг	Фулхэм	0.0	0.5
Рединг	Саутгемптон	0.0	0
Рединг	Астон Вилла	0.0	0
Рединг	Ньюкасл Юнайтед	0.5	0.5
Рединг	Сандерленд	0.5	1
Рединг	Уиган Атлетик	0.25	0
Рединг	Куинз Парк Рейнджерс	0.75	0.5
Куинз Парк Рейнджерс	Манчестер Юнайтед	0.0	0
Куинз Парк Рейнджерс	Манчестер Сити	0.0	0.5
Куинз Парк Рейнджерс	Челси	0.0	0.5
Куинз Парк Рейнджерс	Арсенал	0.5	0
Куинз Парк Рейнджерс	Тоттенхэм Хотспур	0.5	0.5
Куинз Парк Рейнджерс	Эвертон	0.75	0.5
Куинз Парк Рейнджерс	Ливерпуль	0.5	0
Куинз Парк Рейнджерс	Вест Бромвич Альбион	0.0	0
Куинз Парк Рейнджерс	Суонси Сити	0.75	0
Куинз Парк Рейнджерс	Норвич Сити	0.25	0.5
Куинз Парк Рейнджерс	Фулхэм	0.0	1
Куинз Парк Рейнджерс	Сток Сити	0.5	0
Куинз Парк Рейнджерс	Астон Вилла	0.5	0.5
Куинз Парк Рейнджерс	Ньюкасл Юнайтед	0.0	0
Куинз Парк Рейнджерс	Сандерленд	0.25	1
Куинз Парк Рейнджерс	Уиган Атлетик	0.75	0.5
Куинз Парк Рейнджерс	Рединг	0.0	0.5
