name1	name2	concentration1	concentration2
Ньюкасл Юнайтед	Уиган Атлетик	1.0	1.0
Ньюкасл Юнайтед	Рединг	1.0	1.0
Ньюкасл Юнайтед	Куинз Парк Рейнджерс	1.0	1.0
Сандерленд	Манчестер Юнайтед	1.0	1.0
Сандерленд	Манчестер Сити	1.0	1.0
Сандерленд	Челси	1.0	1.0
Сандерленд	Арсенал	1.0	1.0
Сандерленд	Тоттенхэм Хотспур	1.0	1.0
Сандерленд	Эвертон	1.0	1.0
Сандерленд	Ливерпуль	1.0	1.0
Сандерленд	Вест Бромвич Альбион	1.0	1.0
Сандерленд	Суонси Сити	1.0	1.0
Сандерленд	Вест Хэм Юнайтед	1.0	1.0
Сандерленд	Норвич Сити	1.0	1.0
Сандерленд	Фулхэм	1.0	1.0
Сандерленд	Сток Сити	1.0	1.0
Сандерленд	Саутгемптон	1.0	1.0
Сандерленд	Астон Вилла	1.0	1.0
Сандерленд	Ньюкасл Юнайтед	1.0	1.0
Сандерленд	Уиган Атлетик	1.0	1.0
Сандерленд	Рединг	1.0	1.0
Сандерленд	Куинз Парк Рейнджерс	1.0	1.0
Уиган Атлетик	Манчестер Юнайтед	1.0	1.0
Уиган Атлетик	Манчестер Сити	1.0	1.0
Уиган Атлетик	Челси	1.0	1.0
Уиган Атлетик	Арсенал	1.0	1.0
Уиган Атлетик	Тоттенхэм Хотспур	1.0	0.6
Уиган Атлетик	Эвертон	1.0	1.0
Уиган Атлетик	Ливерпуль	1.0	1.0
Уиган Атлетик	Вест Бромвич Альбион	1.0	1.0
Уиган Атлетик	Суонси Сити	1.0	1.0
Уиган Атлетик	Вест Хэм Юнайтед	1.0	1.0
Уиган Атлетик	Норвич Сити	1.0	1.0
Уиган Атлетик	Фулхэм	1.0	0.4
Уиган Атлетик	Сток Сити	1.0	1.0
Уиган Атлетик	Саутгемптон	1.0	1.0
Уиган Атлетик	Астон Вилла	1.0	1.0
Уиган Атлетик	Ньюкасл Юнайтед	1.0	1.0
Уиган Атлетик	Сандерленд	1.0	1.0
Уиган Атлетик	Рединг	1.0	1.0
Уиган Атлетик	Куинз Парк Рейнджерс	1.0	1.0
Рединг	Манчестер Юнайтед	1.0	0.4
Рединг	Манчестер Сити	1.0	1.0
Рединг	Челси	1.0	0.6
Рединг	Арсенал	1.0	1.0
Рединг	Тоттенхэм Хотспур	1.0	1.0
Рединг	Эвертон	1.0	1.0
Рединг	Ливерпуль	1.0	0.4
Рединг	Вест Бромвич Альбион	1.0	1.0
Рединг	Суонси Сити	1.0	1.0
Рединг	Вест Хэм Юнайтед	1.0	1.0
Рединг	Норвич Сити	1.0	1.0
Рединг	Фулхэм	1.0	1.0
Рединг	Сток Сити	1.0	1.0
Рединг	Саутгемптон	1.0	1.0
Рединг	Астон Вилла	1.0	1.0
Рединг	Ньюкасл Юнайтед	1.0	1.0
Рединг	Сандерленд	1.0	1.0
Рединг	Уиган Атлетик	1.0	1.0
Рединг	Куинз Парк Рейнджерс	1.0	1.0
Куинз Парк Рейнджерс	Манчестер Юнайтед	1.0	1.0
Куинз Парк Рейнджерс	Манчестер Сити	1.0	0.8
Куинз Парк Рейнджерс	Челси	1.0	1.0
Куинз Парк Рейнджерс	Арсенал	1.0	1.0
Куинз Парк Рейнджерс	Тоттенхэм Хотспур	1.0	1.0
Куинз Парк Рейнджерс	Эвертон	1.0	1.0
Куинз Парк Рейнджерс	Ливерпуль	1.0	1.0
Куинз Парк Рейнджерс	Вест Бромвич Альбион	1.0	1.0
Куинз Парк Рейнджерс	Суонси Сити	1.0	1.0
Куинз Парк Рейнджерс	Вест Хэм Юнайтед	1.0	1.0
Куинз Парк Рейнджерс	Норвич Сити	1.0	1.0
Куинз Парк Рейнджерс	Фулхэм	1.0	1.0
Куинз Парк Рейнджерс	Сток Сити	1.0	1.0
Куинз Парк Рейнджерс	Саутгемптон	1.0	1.0
Куинз Парк Рейнджерс	Астон Вилла	1.0	1.0
Куинз Парк Рейнджерс	Ньюкасл Юнайтед	1.0	1.0
Куинз Парк Рейнджерс	Сандерленд	1.0	1.0
Куинз Парк Рейнджерс	Уиган Атлетик	1.0	1.0
Куинз Парк Рейнджерс	Рединг	1.0	1.0
