name1	name2	form1	form2	result
Астон Вилла	Тоттенхэм Хотспур	0.6	0.7	0
Астон Вилла	Ливерпуль	0.6	0.6	0
Астон Вилла	Вест Бромвич Альбион	0.3	0.7	0.5
Астон Вилла	Вест Хэм Юнайтед	0.3	0.3	1
Астон Вилла	Норвич Сити	0.3	0.3	0.5
Астон Вилла	Фулхэм	0.6	0.7	0.5
Астон Вилла	Сток Сити	0.4	0.9	0.5
Астон Вилла	Саутгемптон	0.3	0.5	0
Астон Вилла	Ньюкасл Юнайтед	0.2	0.1	0
Астон Вилла	Сандерленд	0.5	0.5	1
Астон Вилла	Уиган Атлетик	0.4	0.1	0
Астон Вилла	Рединг	0.4	0.5	1
Астон Вилла	Куинз Парк Рейнджерс	0.5	0.5	1
Ньюкасл Юнайтед	Манчестер Юнайтед	0.5	0.8	0
Ньюкасл Юнайтед	Манчестер Сити	0.2	0.6	0
Ньюкасл Юнайтед	Челси	0.3	0.6	1
Ньюкасл Юнайтед	Арсенал	0.4	0.8	0
Ньюкасл Юнайтед	Эвертон	0.2	0.7	0
Ньюкасл Юнайтед	Ливерпуль	0.3	0.5	0
Ньюкасл Юнайтед	Вест Бромвич Альбион	0.5	0.5	1
Ньюкасл Юнайтед	Суонси Сити	0.4	0.5	0
Ньюкасл Юнайтед	Вест Хэм Юнайтед	0.5	0.5	0
Ньюкасл Юнайтед	Фулхэм	0.4	0.8	1
Ньюкасл Юнайтед	Сток Сити	0.6	0.3	1
Ньюкасл Юнайтед	Саутгемптон	0.5	0.5	1
Ньюкасл Юнайтед	Сандерленд	0.4	0.2	0
Ньюкасл Юнайтед	Уиган Атлетик	0.1	0.4	1
Ньюкасл Юнайтед	Рединг	0.3	0.5	0
Ньюкасл Юнайтед	Куинз Парк Рейнджерс	0.2	0.5	1
Сандерленд	Манчестер Юнайтед	0.2	1.0	0
Сандерленд	Манчестер Сити	0.4	0.7	1
Сандерленд	Челси	0.3	0.3	0
Сандерленд	Арсенал	0.5	0.5	0
Сандерленд	Тоттенхэм Хотспур	0.6	0.7	0
Сандерленд	Эвертон	0.3	0.8	1
Сандерленд	Вест Бромвич Альбион	0.4	0.6	0
Сандерленд	Суонси Сити	0.6	0.7	0.5
Сандерленд	Вест Хэм Юнайтед	0.4	0.3	1
Сандерленд	Норвич Сити	0.1	0.5	0.5
Сандерленд	Фулхэм	0.3	0.5	0.5
Сандерленд	Сток Сити	0.4	0.4	0.5
Сандерленд	Саутгемптон	0.5	0.4	0.5
Сандерленд	Астон Вилла	0.5	0.2	0
Сандерленд	Ньюкасл Юнайтед	0.5	0.5	0.5
Сандерленд	Рединг	0.3	0.2	1
Сандерленд	Куинз Парк Рейнджерс	0.3	0.1	0.5
Уиган Атлетик	Манчестер Юнайтед	0.3	0.9	0
Уиган Атлетик	Манчестер Сити	0.6	0.8	0
Уиган Атлетик	Арсенал	0.3	0.6	0
Уиган Атлетик	Тоттенхэм Хотспур	0.5	0.5	0.5
Уиган Атлетик	Эвертон	0.3	0.7	0.5
Уиган Атлетик	Ливерпуль	0.4	0.6	0
Уиган Атлетик	Вест Бромвич Альбион	0.5	0.5	0
Уиган Атлетик	Суонси Сити	0.4	0.3	0
Уиган Атлетик	Вест Хэм Юнайтед	0.1	0.6	1
Уиган Атлетик	Норвич Сити	0.5	0.5	1
Уиган Атлетик	Саутгемптон	0.4	0.5	0.5
Уиган Атлетик	Астон Вилла	0.3	0.5	0.5
Уиган Атлетик	Ньюкасл Юнайтед	0.4	0.6	1
Уиган Атлетик	Сандерленд	0.3	0.6	0
Уиган Атлетик	Рединг	0.4	0.5	1
Уиган Атлетик	Куинз Парк Рейнджерс	0.2	0.2	0.5
Рединг	Манчестер Юнайтед	0.4	0.8	0
Рединг	Манчестер Сити	0.4	0.7	0
Рединг	Челси	0.7	0.7	0.5
Рединг	Арсенал	0.0	0.6	0
Рединг	Эвертон	0.4	0.6	1
Рединг	Ливерпуль	0.0	0.7	0.5
Рединг	Вест Бромвич Альбион	0.3	0.5	1
Рединг	Суонси Сити	0.0	0.5	0.5
Рединг	Вест Хэм Юнайтед	0.1	0.3	1
Рединг	Норвич Сити	0.4	0.5	0.5
Рединг	Фулхэм	0.2	0.7	0.5
Рединг	Саутгемптон	0.0	0.5	0
Рединг	Астон Вилла	0.3	0.3	0
Рединг	Сандерленд	0.7	0.5	1
Рединг	Уиган Атлетик	0.7	0.3	0
Рединг	Куинз Парк Рейнджерс	0.1	0.1	0.5
Куинз Парк Рейнджерс	Манчестер Юнайтед	0.4	0.9	0
Куинз Парк Рейнджерс	Манчестер Сити	0.4	0.8	0.5
Куинз Парк Рейнджерс	Арсенал	0.2	0.8	0
Куинз Парк Рейнджерс	Тоттенхэм Хотспур	0.4	0.9	0.5
Куинз Парк Рейнджерс	Эвертон	0.1	0.6	0.5
Куинз Парк Рейнджерс	Ливерпуль	0.4	0.6	0
Куинз Парк Рейнджерс	Вест Бромвич Альбион	0.5	0.3	0
Куинз Парк Рейнджерс	Вест Хэм Юнайтед	0.2	0.6	0
Куинз Парк Рейнджерс	Норвич Сити	0.5	0.2	0.5
Куинз Парк Рейнджерс	Фулхэм	0.3	0.3	1
Куинз Парк Рейнджерс	Сток Сити	0.3	0.1	0
Куинз Парк Рейнджерс	Саутгемптон	0.2	0.2	0
Куинз Парк Рейнджерс	Астон Вилла	0.2	0.5	0.5
Куинз Парк Рейнджерс	Ньюкасл Юнайтед	0.2	0.4	0
Куинз Парк Рейнджерс	Сандерленд	0.4	0.2	1
Куинз Парк Рейнджерс	Уиган Атлетик	0.4	0.6	0.5
Куинз Парк Рейнджерс	Рединг	0.1	0.3	0.5
