name1	name2	form1	form2	result	concentration1	concentration2	goal_diff	score_diff	history	motivation1	motivation2
Эвертон	Сток Сити	0.5	0.3	1.0	0.4	1.0	0.6507936507936508	0.6372549019607843	0.5	0.9166666666666666	0.8333333333333334
Эвертон	Астон Вилла	0.6	0.2	0.5	1.0	1.0	0.8333333333333333	0.7441860465116279	0.75	0.9761904761904762	0.5714285714285714
Эвертон	Сандерленд	0.6	0.4	1.0	1.0	1.0	0.6730769230769231	0.7	1.0	0.0	0.0
Эвертон	Уиган Атлетик	0.7	0.1	1.0	1.0	1.0	0.8194444444444444	0.7205882352941176	0.5	0.9666666666666668	0.75
Эвертон	Рединг	0.4	0.5	1.0	0.0	1.0	0.7118644067796609	0.6862745098039216	0.0	0.8484848484848485	0.9696969696969696
Эвертон	Куинз Парк Рейнджерс	0.7	0.5	1.0	0.8	1.0	0.7692307692307692	0.7592592592592593	0.5	0.7777777777777778	0.6111111111111112
Ливерпуль	Челси	0.6	0.8	0.5	0.6	0.4	0.4117647058823529	0.4035087719298246	0.75	1.0	1.0
Ливерпуль	Тоттенхэм Хотспур	0.6	0.9	1.0	1.0	1.0	0.5238095238095238	0.375	0.25	0.9	0.9333333333333332
Ливерпуль	Эвертон	0.7	0.6	0.5	1.0	0.2	0.5774647887323944	0.4583333333333333	0.75	1.0	1.0
Ливерпуль	Вест Бромвич Альбион	0.6	0.1	0.0	1.0	0.6	0.7191780821917808	0.59375	0.5	0.9487179487179488	0.7435897435897436
Ливерпуль	Суонси Сити	0.4	0.6	1.0	1.0	1.0	0.5089285714285714	0.4895833333333333	0.25	0.8333333333333334	0.8611111111111112
Ливерпуль	Вест Хэм Юнайтед	0.8	0.4	0.5	0.2	0.8	0.7121212121212122	0.6111111111111112	0.5	0.8571428571428572	0.7619047619047619
Ливерпуль	Норвич Сити	0.6	0.1	1.0	1.0	1.0	0.6634615384615384	0.5609756097560976	1.0	0.9375	0.8541666666666666
Ливерпуль	Фулхэм	0.5	0.3	1.0	1.0	1.0	0.5147058823529411	0.5303030303030303	0.0	0.9206349206349206	0.9206349206349206
Ливерпуль	Сток Сити	0.4	0.5	0.5	1.0	1.0	0.4130434782608696	0.4411764705882353	0.75	0.0	0.0
Ливерпуль	Астон Вилла	0.7	0.5	0.0	1.0	1.0	0.696969696969697	0.609375	0.75	0.9393939393939394	0.8333333333333334
Ливерпуль	Ньюкасл Юнайтед	0.6	0.6	0.5	1.0	1.0	0.5	0.4285714285714286	0.5	0.0	0.0
